상권_코드,상권_코드_명,kmeans_cluster,상권유형
3110467,은평요양병원,2,쇠퇴상권
3110468,응암역 3번,2,쇠퇴상권
3110469,응암정보도서관,2,쇠퇴상권
3110470,신진과학기술고등학교,2,쇠퇴상권
3110472,연신내역 4번,2,기대상권
3110473,구산역 1번,2,기대상권
3110475,백련산해모로아파트,2,기대상권
3110477,은평세무서,2,쇠퇴상권
3110481,불광역 7번,2,정체상권
3110485,연신내우체국,2,기대상권
3110486,은평구청,2,성장상권
3110487,불광역 8번,2,쇠퇴상권
3110488,우리은행응암동지점,2,쇠퇴상권
3110492,하나고등학교,1,전통강호상권
3110495,북가좌2동주민센터,2,기대상권
3110498,증산역 1번,2,쇠퇴상권
3110500,남가좌동현대아파트,1,정체상권
3110502,남가좌파출소,2,기대상권
3110503,명지대학교교회,2,기대상권
3110507,명지대학교,2,기대상권
3110508,서연중학교,1,성장상권
3110509,연희대우아파트앞,0,성장상권
3110510,홍연시장,2,정체상권
3110511,연희초등학교,2,기대상권
3110513,연희파출소,1,쇠퇴상권
3110514,서대문우체국,0,성장상권
3110517,서대문소방서,1,쇠퇴상권
3110519,서대문구보건소별관,2,쇠퇴상권
3110520,경의중앙 신촌역,2,쇠퇴상권
3110521,홍제역 4번,2,정체상권
3110524,연희세브란스병원,1,전통강호상권
3110525,홍은종합사회복지관,2,기대상권
3110526,봉원사,1,기대상권
3110528,서울여자간호대학교,2,정체상권
3110532,아현역 2번,2,기대상권
3110537,충정로현대아파트,1,쇠퇴상권
3110539,미근동,2,기대상권
3110541,동교초등학교,2,쇠퇴상권
3110542,마포구청역 7번,2,기대상권
3110543,중암중학교,2,기대상권
3110544,망리단길,3,쇠퇴상권
3110545,마포구청역 1번,2,전통강호상권
3110547,KB국민은행 망원동지점,2,쇠퇴상권
3110548,마포구청역 4번,2,쇠퇴상권
3110550,합정역 8번,2,기대상권
3110551,성서초등학교,2,기대상권
3110553,가좌역 2번,2,쇠퇴상권
3110554,망원역 1번,2,기대상권
3110557,홍대부속여중고앞,2,쇠퇴상권
3110558,경성고등학교,2,기대상권
3110559,성산중학교,2,성장상권
3110560,마포FM,2,기대상권
3110561,상수역 4번,2,성장상권
3110562,연트럴파크(연남동주민센터),1,정체상권
3110564,홍대입구역 3번,2,기대상권
3110566,경의선책거리,3,전통강호상권
3110568,광흥창역 1번,1,쇠퇴상권
3110569,홍대땡땡거리,2,기대상권
3110571,신수동주민센터,1,기대상권
3110572,서강대역 1번,2,정체상권
3110575,대흥동주민센터,2,기대상권
3110576,대흥역 3번,1,정체상권
3110578,대흥역 2번,2,기대상권
3110579,마포역 4번,2,기대상권
3110582,이대역 5번,2,전통강호상권
3110586,서울서부지방법원,2,정체상권
3110587,공덕동주민센터,2,기대상권
3110588,한겨레신문사,2,쇠퇴상권
3110593,신월3동주민센터,2,쇠퇴상권
3110594,신월중학교,2,쇠퇴상권
3110595,메디힐병원,2,기대상권
3110596,서서울호수공원,2,기대상권
3110598,신월문화체육센터,2,기대상권
3110599,신월1파출소,2,기대상권
3110601,신월1동우편취급국,2,기대상권
3110603,지향초등학교,2,정체상권
3110606,신한은행 신월동지점,2,쇠퇴상권
3110608,신월2동주민센터,2,쇠퇴상권
3110612,신정역 5번,2,쇠퇴상권
3110615,신서초등학교,1,정체상권
3110616,양목초등학교,2,쇠퇴상권
3110618,강서고등학교,2,쇠퇴상권
3110620,목동보건지소,2,정체상권
3110621,목동역 5번,1,쇠퇴상권
3110622,달마을공원,2,쇠퇴상권
3110625,신정2동주민센터,1,기대상권
3110626,양화초등학교,2,쇠퇴상권
3110627,신정롯데캐슬아파트,2,기대상권
3110630,공항시장역 1번,2,기대상권
3110632,방화역 3번,2,정체상권
3110634,송정역 3번,2,쇠퇴상권
3110636,방화역 2번,2,기대상권
3110638,신방화역 2번,2,기대상권
3110639,신방화역 8번,2,기대상권
3110640,방화역 1번,2,성장상권
3110641,공항고등학교,2,기대상권
3110643,강서구다솔마을,2,쇠퇴상권
3110645,우장산역 4번,2,성장상권
3110646,푸른들청소년도서관,2,기대상권
3110647,화곡역 5번,2,기대상권
3110649,우장산역 1번,2,기대상권
3110650,우장산힐스테이트,2,쇠퇴상권
3110651,화원중학교,2,쇠퇴상권
3110652,양천향교역 2번,2,기대상권
3110654,까치산역 4번,2,기대상권
3110655,발산역 5번,2,성장상권
3110656,까치산역 3번,2,쇠퇴상권
3110657,양천향교역 5번,1,쇠퇴상권
3110659,화곡역 4번,2,기대상권
3110660,등촌3동주민센터,2,기대상권
3110662,까치산역 1번,2,쇠퇴상권
3110663,우장산롯데캐슬아파트앞,0,성장상권
3110667,가양역 10번,1,기대상권
3110668,화곡2동주민센터,2,쇠퇴상권
3110670,신곡초등학교,2,기대상권
3110671,등촌1동주민센터,2,쇠퇴상권
3110684,서울공연예술고등학교,2,성장상권
3110686,수궁동주민센터,2,쇠퇴상권
3110690,오류2동버들시장,2,쇠퇴상권
3110694,세곡초등학교,2,기대상권
3110695,개봉1동주민센터,2,쇠퇴상권
3110697,개봉3동주민센터,2,쇠퇴상권
3110699,덕의초등학교,2,기대상권
3110701,고척동성당,2,기대상권
3110702,개봉초등학교,2,쇠퇴상권
3110703,개봉역,2,성장상권
3110706,그라운드 고척,2,전통강호상권
3110711,구로초등학교,2,기대상권
3110713,구로보건소,2,기대상권
3110714,구로4동주민센터,2,정체상권
3110716,구로나눔길,0,성장상권
3110717,남구로역 2번,2,기대상권
3110718,한국SGI본부,2,기대상권
3110720,대림역 2번,2,기대상권
3110721,가리봉파출소,2,기대상권
3110722,G타워,2,쇠퇴상권
3110725,가산동주민센터,2,쇠퇴상권
3110726,금천철쭉어린이공원(금하마을),2,쇠퇴상권
3110729,가산동우체국,2,쇠퇴상권
3110731,금천구청역 1번 출입구,2,전통강호상권
3110732,가산초등학교(세일중학교),2,기대상권
3110736,독산119안전센터,2,쇠퇴상권
3110738,문성초등학교,2,쇠퇴상권
3110742,KT금천빌딩(금천구시설관리공단),2,성장상권
3110743,시흥초등학교(시흥1동우체국),2,기대상권
3110744,독산동성당,2,기대상권
3110745,독산동정훈단지,2,쇠퇴상권
3110749,금산초등학교(금천고등학교),2,쇠퇴상권
3110752,한울중학교,2,쇠퇴상권
3110753,시흥동 은행나무사거리,2,정체상권
3110755,동일여자고등학교,2,기대상권
3110756,문래중학교,1,쇠퇴상권
3110757,양평역 2번,2,정체상권
3110759,문래예술촌(문래창작촌),3,기대상권
3110760,선유도역 6번,1,전통강호상권
3110762,선유도역 1번,1,전통강호상권
3110763,영등포구청역 2번,1,성장상권
3110774,당산반도유보라팰리스아파트,2,쇠퇴상권
3110778,구로디지털단지역 4번,2,기대상권
3110789,대림성모병원,2,기대상권
3110792,영등포역 2번,2,성장상권
3110794,영동초등학교,2,기대상권
3110804,신풍역 1번,2,기대상권
3110810,영신초등학교,2,기대상권
3110812,신길6동주민센터,2,성장상권
3110813,보라매역 6번,2,기대상권
3110814,서울지방병무청,2,기대상권
3110815,공군호텔,2,정체상권
3110819,신대방역 4번,2,기대상권
3110820,성남고등학교,2,기대상권
3110821,보라매역 2번,2,기대상권
3110824,대방역 3번,2,쇠퇴상권
3110825,신대방삼거리역 1번,2,기대상권
3110826,장승배기역 4번,2,기대상권
3110827,NH농협은행 상도동지점,2,전통강호상권
3110828,노량진역 6번,2,기대상권
3110830,상도초등학교,2,쇠퇴상권
3110833,상도역 2번,2,쇠퇴상권
3110836,상도역 5번,1,기대상권
3110837,숭실대입구역 1번,2,쇠퇴상권
