상권_코드,sps_mean,sps_std,sps_cv,sps_min,sps_max,sps_first,sps_last,sps_growth,sps_cagr,sps_yoy_growth,sps_trend_slope,sps_trend_r2,sps_trend_pvalue,store_first,store_last,store_growth,store_mean,sales_mean,sales_growth,sps_q1_ratio,sps_q2_ratio,sps_q3_ratio,sps_q4_ratio,decline_quarters,decline_ratio,data_quarters,trend_class,scale_class,상권유형
3110913,2428536.032093254,1712918.5626856207,0.7053296883592814,233277.1,6147789.0,3390672.7,2797450.714285714,-0.17495701832686064,-0.04694241173293878,0.19987398333387543,134929.5501190476,0.13185592431050336,0.16685186645594247,10.0,7.0,-0.3,8.125,19104229.375,-0.42246991282880236,0.8124862331799141,0.9425405094834516,1.3096927171069257,0.9352805402297089,10.0,0.6666666666666666,16.0,하락,小,쇠퇴상권
3110915,135181992.22083333,50195454.93628776,0.37131761495487103,35795423.0,221141103.66666666,147887777.0,35795423.0,-0.7579555002709927,-0.29858701020561285,-0.490796765496945,-8747456.32019608,0.6453476159493975,0.00017820451846280684,3.0,5.0,0.6666666666666666,4.5,581606573.1875,-0.5965925004516545,1.0449021990980185,1.2249011023684846,0.9062553429813981,0.8239413555520987,10.0,0.6666666666666666,16.0,하락,大,전통강호상권
3110916,31542871.8125,19084698.994000036,0.6050399946918288,17231583.0,83144895.2,19495215.4,17231583.0,-0.11611220258689722,-0.030385091251596164,-0.1444603889930093,-1285027.4379411764,0.09634143412170472,0.2419904411307265,5.0,5.0,0.0,5.0,157714359.0625,-0.11611220258689729,1.2330633171639973,1.2199135728266528,0.8388686549305931,0.7081544550787563,9.0,0.6,16.0,하락,大,전통강호상권
3110921,42758118.646874994,9584671.914567111,0.22416028155316448,26315276.2,61870459.0,31289451.4,26315276.2,-0.1589729118740637,-0.04235951927370818,-0.19959290672327193,-535262.5922794116,0.06627324220010161,0.33576290806472453,5.0,5.0,0.0,4.4375,187134994.3125,-0.15897291187406373,0.9633583712530931,0.942230470784394,1.027155029322364,1.0672561286401496,8.0,0.5333333333333333,16.0,하락,大,전통강호상권
3110922,10200670.459375001,2582764.1640570764,0.2531955300725717,6304077.4,16213201.75,9499584.6,6304077.4,-0.33638388777547173,-0.09743345753857846,0.03486755601150334,-303767.4270833334,0.29394889772561816,0.030037409435940562,5.0,5.0,0.0,5.0625,50969602.3125,-0.3363838877754718,0.9716921490087336,1.1147993167333512,0.9201933396485573,0.9933151946093571,9.0,0.6,16.0,하락,中,쇠퇴상권
3110925,22344921.166166127,7093502.301241647,0.3174547920080547,10333638.818181818,36334642.0,13698996.1,33426123.25,1.4400418108010118,0.2498253151681924,0.3720276997560677,1148862.1476146975,0.5574081929144487,0.0008922233428338021,10.0,4.0,-0.6,7.4375,150846837.1875,-0.023983275679595236,0.821609191456814,1.0802227166229341,0.9585575992856664,1.1396104926345856,6.0,0.4,16.0,상승,中,기대상권
3110926,7435653.286334325,2635145.459908686,0.35439326693079,3645545.888888889,12056245.285714285,10174172.57142857,6204001.857142857,-0.39022050062674096,-0.11632370532507541,-0.09744680942811286,-504013.4204977824,0.7773810490888371,6.327827235158784e-06,7.0,7.0,0.0,8.0,58177453.4375,-0.390220500626741,0.9861412833198435,1.1147478077191382,1.0101375488587723,0.8889733601022466,9.0,0.6,16.0,하락,小,쇠퇴상권
3110929,798634.8050491175,392812.88948576583,0.49185546009556536,324584.45454545453,1957467.25,1530002.25,324584.45454545453,-0.7878536096626952,-0.321329594248288,0.06565235498119812,-48853.4492243051,0.3286835266284657,0.020250060699819133,12.0,11.0,-0.08333333333333333,12.3125,9839675.625,-0.8055324755241373,1.1696092641346951,1.2306887701050828,0.7580811430213881,0.8416208227388341,8.0,0.5333333333333333,16.0,하락,小,쇠퇴상권
3110930,3348267.3791666664,1525119.908683508,0.4554952564938489,1045641.75,5973224.2,2227541.25,1045641.75,-0.5305847871504064,-0.17226886767010474,-0.6662954808443287,-117682.84553921569,0.1265252708509742,0.1763360491915566,4.0,8.0,1.0,5.625,17503227.75,-0.06116957430081261,0.9709937299150708,1.1763383539818384,0.8542807477724695,0.9983871683306217,7.0,0.4666666666666667,16.0,하락,小,쇠퇴상권
3110931,51344177.651531026,10170657.028266903,0.19808783572880198,39005120.333333336,74922596.15384616,58297352.615384616,55590907.166666664,-0.04642484310691877,-0.011813919846328513,0.1635560080733197,-1170691.7131571192,0.2815438232800933,0.034467364179457366,13.0,12.0,-0.07692307692307693,14.25,720484747.75,-0.11977677825254036,0.9121339646250386,1.1163679555395596,0.9699168363710502,1.0015812434643512,7.0,0.4666666666666667,16.0,정체,大,정체상권
3110934,8396438.725883838,4352250.579444387,0.5183448270786082,3059856.4166666665,16209207.444444444,15149937.75,3059856.4166666665,-0.7980284495448394,-0.3296176835065,-0.41391133035504496,-892776.3875861556,0.8941626841707603,3.2713578330304636e-08,8.0,12.0,0.5,9.4375,76390122.4375,-0.6970426743172592,1.0721701738028142,1.0298381825039147,1.0038317518439726,0.8941598918492986,12.0,0.8,16.0,하락,小,쇠퇴상권
3110936,112836534.43422619,26679018.269036006,0.2364395397537447,61234972.833333336,154107765.33333334,103412327.6,115661702.0,0.1184517811781659,0.028381644541175755,-0.08896963811288311,-2259649.3298389353,0.15244084231652796,0.13487382286740998,5.0,7.0,0.4,6.3125,702783250.4375,0.5658324936494322,0.7789007182483744,1.1166084597264887,1.0143241532251515,1.0901666687999858,7.0,0.4666666666666667,16.0,상승,大,성장상권
