상권_코드,DTW_Cluster,상권유형,sps_mean,sps_growth,sps_cv,sps_first,sps_last
3120012,4,성장상권,42435137.10537311,0.42866556915072324,0.16300298020822124,26146079.942622952,49066760.3
3120013,4,성장상권,36287669.33952223,1.0624414890967622,0.2876529058663737,17864865.333333332,50186827.52173913
3120014,4,성장상권,39406855.982432276,0.4719574733156283,0.1631930769637928,23346061.79411765,43780811.37837838
3120015,3,쇠퇴상권,26648336.9230216,-0.07616707554635169,0.1760347899514721,16746573.583333334,26109978.733333334
3120016,3,쇠퇴상권,15233679.461661255,-0.09190360862363431,0.20177532767425485,16558148.5,14853886.272727273
3120017,1,기대상권,39373717.74084145,0.34269756613321384,0.15072378645988982,28192549.57142857,50621603.5
3120018,4,성장상권,26238186.766572393,0.27131833882382467,0.13345228128162975,18650913.269230768,29266456.67857143
3120019,4,성장상권,81872193.79805402,1.9544022607942153,0.43797677854897243,40015169.93333333,84911387.42857143
3120020,4,성장상권,57445795.97770833,0.4073452177622054,0.17683538646659203,33861411.0,59747485.75
3120021,2,전통강호상권,299425216.3781196,-0.053291213783805254,0.0789636570253846,291993175.7368421,252281241.4390244
3120022,2,전통강호상권,50598703.65331,0.06612409840060957,0.10548045411662996,41667830.24242424,42868321.277777776
3120023,3,쇠퇴상권,60962156.19911778,-0.09678404466825384,0.09654291682232814,56374267.24,57600580.4137931
3120024,4,성장상권,20663480.065541152,0.40758852698441006,0.2778979448692674,11371923.07142857,33718742.05
3120026,4,성장상권,67821457.53235468,0.3363251476821017,0.14145268133401004,45335376.42028985,71536983.01265822
3120027,3,쇠퇴상권,72922997.38178898,-0.031138648781037823,0.42714875445799033,96373050.45,92101799.04761904
3120028,4,성장상권,85627220.88909502,0.604881862560585,0.23026284249308765,38012175.01098901,98339950.15384616
3120029,2,전통강호상권,35283810.19277606,0.14362852123229838,0.3282939452662818,14170609.692307692,20263353.125
3120030,3,쇠퇴상권,43917846.18067162,0.00032552964888605,0.08943548133270747,39250100.23809524,43799338.24390244
3120031,2,전통강호상권,62519890.011040464,0.050159987449807535,0.08010840416700069,51261847.896103896,67799207.31182796
3120032,4,성장상권,39026103.152621314,0.3175619430841752,0.2160170542977577,24658910.166666668,41174545.72839506
3120033,2,전통강호상권,4960749.700019853,0.14655300761609824,0.3421513627034958,2050987.5,4066857.217391304
3120034,2,전통강호상권,5772098.233699633,-0.5153023661296199,0.6463484219601422,354090.1666666667,1872102.6
3120035,0,정체상권,36513870.377901785,-0.3540578035254233,0.24827339677129076,43770943.2,24869325.25
3120036,1,기대상권,34708086.366341725,0.6464565080977444,0.20545101206866867,20061929.714285713,49172699.09090909
3120037,1,기대상권,33438949.029490575,0.20667755840774038,0.1139076964471812,23762379.85185185,37751213.47619048
3120038,0,정체상권,18150039.040644348,-0.36941105069484675,0.20758906978927671,19142538.46153846,13260500.133333333
3120039,2,전통강호상권,14059647.976676714,0.036020083699073696,0.11880396324878294,9449889.583333334,13831823.641025642
3120040,0,정체상권,25500724.973753083,-0.17768116106757242,0.1323388275370457,25893310.575757574,25227958.548387095
3120041,1,기대상권,20722481.075756438,0.2345948029771329,0.13126456239110806,15712365.791304348,25786582.251798563
3120042,4,성장상권,46946382.25787039,0.5735141244426806,0.25443493030469794,39134390.75,55109027.666666664
3120043,4,성장상권,80080342.34846115,0.2628474496568472,0.14635254078881862,48648380.615384616,81593860.08823529
3120044,0,정체상권,12087349.12973827,-0.2538429142793922,0.2603019809587528,11906883.944444444,11494755.236842105
3120045,4,성장상권,35715682.93048207,1.0440031123388833,0.29975229697217176,15072698.07142857,46759620.083333336
3120046,2,전통강호상권,28203501.395921495,-0.024744312661163476,0.17297934757929032,21835768.013157893,24794251.505494505
3120047,4,성장상권,17895084.4386633,0.5279215716633993,0.24208347898287544,11698028.857142856,19070759.884615384
3120048,1,기대상권,3575568.5055288463,0.2113658415924121,0.2324926472606057,3544833.9,3570793.4166666665
3120049,2,전통강호상권,12927787.222787537,-0.07439250341631079,0.098230024545813,10732904.285714285,13012131.170731707
3120050,4,성장상권,9214341.40822272,0.47882761666043444,0.2375389383287407,7365384.363636363,9876562.8
3120051,0,정체상권,51539523.137387455,-0.14327295290257508,0.06722433742730899,50814528.71666667,45348371.5882353
3120052,0,정체상권,44907786.43602977,-0.25615531173028766,0.15138945603251194,53532934.244444445,40138426.295774646
3120053,4,성장상권,56939560.17623276,0.2655833537614326,0.11575573086214996,41002033.84347826,68263863.23846154
3120054,3,쇠퇴상권,20370113.345291555,-0.11296003818958551,0.21459994414909345,19870850.545454547,22226093.26470588
3120055,4,성장상권,18231020.183031574,0.15123667936498028,0.09543993411057963,14989640.818181818,18278907.54385965
3120056,2,전통강호상권,22258729.420627616,-0.03915694204645211,0.09991407078313815,18879058.391304348,21502365.24137931
3120057,4,성장상권,60740662.40115937,0.07877745878758562,0.13040213677360796,41442507.9047619,53656977.217391305
3120058,0,정체상권,5178441.491912428,-0.5202207773927451,0.34433707771352917,8097387.0,3738795.090909091
3120059,4,성장상권,27279438.486062735,0.1496986556602354,0.08170668921410405,22760836.0,28843939.94736842
3120061,1,기대상권,12759195.625,0.6914358978347097,0.3510297029011771,8481442.2,15797991.2
3120062,4,성장상권,20406219.553207375,0.2498645803927712,0.11955397152908509,16211098.76,21136980.0
3120063,2,전통강호상권,15924455.280596884,-0.12601661300654163,0.13551870510180536,14804090.838709677,13054476.243243244
3120064,2,전통강호상권,70245295.05802906,0.04054022005463574,0.13065750234641585,56429882.4,75449942.33333333
3120065,2,전통강호상권,22467799.862261705,-0.0576814221391118,0.12624839476021713,19002569.041666668,20573673.086956523
3120066,1,기대상권,18911389.83989087,0.11429122266708851,0.12762661576404272,15482108.263157895,19030362.106382977
3120067,2,전통강호상권,20451036.156228907,0.09092036400130063,0.1597924375176964,16735543.209302325,20608530.84090909
3120068,2,전통강호상권,60296413.890918806,0.01073616937614818,0.15608223619029482,49725068.833333336,51037415.4375
3120069,4,성장상권,19775735.253015462,0.46971411761185583,0.18189177573907517,12784230.41025641,22072726.230769232
3120070,2,전통강호상권,33807496.64956985,-0.17316268816443117,0.26388109072416094,22434760.5,23420698.666666668
3120071,3,쇠퇴상권,11948447.567350898,-0.19858197160581081,0.17506262731710728,13130376.0,10146389.0625
3120072,4,성장상권,61339244.515223995,0.27057597030281744,0.159080293070329,42292477.052083336,58133807.705882356
3120073,4,성장상권,27746533.642236806,1.4050461614118226,0.34198463347191965,8644848.727272727,38358754.928571425
3120075,4,성장상권,26554114.177406833,0.1294366595911431,0.1695233795044118,17960106.95238095,26439652.85714286
3120076,3,쇠퇴상권,27031348.235077396,0.0007066689457612155,0.09377772037942354,23017147.4,26746097.333333332
3120077,1,기대상권,14924046.393203322,0.14689531644099577,0.1269130709726243,11544903.962962963,17369465.76
3120078,4,성장상권,42776855.29546999,0.24818520572519037,0.12608572527562115,30199932.095238097,40534274.176470585
3120079,2,전통강호상권,34110768.08858521,-0.12473440481478724,0.14256794870000306,26667799.125,31971713.555555556
3120081,0,정체상권,83000546.36719635,-0.33549616614157357,0.1755070494225088,84753073.89411765,58593092.6875
3120082,4,성장상권,12261554.1328125,0.34913852417711155,0.212002050703463,7764720.625,11694892.666666666
3120083,4,성장상권,44936933.15400253,0.5277080238239975,0.1948855203520021,23699904.57894737,47227492.0
3120084,2,전통강호상권,63633564.27292189,-0.07514179387375844,0.19625631162510235,47417744.333333336,62794679.0
3120085,0,정체상권,19279323.117063597,-0.23904708879370654,0.13904763106204163,17417509.896551725,13990201.242424242
3120086,4,성장상권,23541838.054473653,0.7260514574427783,0.24647387319236863,12551229.954545455,26149724.0
3120087,1,기대상권,29111731.42373512,1.75621778115404,0.49014330154682834,17444073.125,51776544.14285714
3120088,4,성장상권,45965635.94592803,0.47646254647616754,0.19795011566712092,29309831.777777776,46523242.63636363
3120089,2,전통강호상권,25480432.630087763,-0.011878077191650748,0.15202214383801343,19677357.111111112,15652509.037037037
3120090,1,기대상권,26639713.934923183,0.09138989396762973,0.1691537305045418,17424286.954545453,28207183.458333332
3120091,0,정체상권,16579548.778628066,-0.31492466353833054,0.16667255465718117,19992504.315789472,12572196.0
3120092,1,기대상권,12608276.197544642,0.223327410174967,0.15410649856028563,8799616.57142857,13865029.57142857
3120093,4,성장상권,46632061.5815034,0.23617448960388635,0.129404938177355,27917525.666666668,53682644.125
3120094,1,기대상권,35595241.175756976,0.27772188158050887,0.1288105973287112,26200603.52892562,42688982.28965517
3120095,4,성장상권,23543022.997811563,0.09984812258550178,0.18813047915161382,15522221.133333333,15124275.846153846
3120096,4,성장상권,28561676.13178068,0.26234570001551943,0.14178796960847406,23106171.377777778,31548273.259259257
3120097,0,정체상권,91139325.73162879,-0.46275406463691066,0.32151637899489155,118642182.25,67258491.7
3120100,2,전통강호상권,28929162.443344995,-0.0027255521693772666,0.0723146918449952,26272272.88235294,27882457.25
3120101,2,전통강호상권,33317420.61995653,0.030094965118690472,0.10625253132924832,21953744.076923076,30347585.756097563
3120102,4,성장상권,22544770.553728044,0.2038659211640593,0.10466017643909349,16555270.878787879,24437123.13253012
3120103,4,성장상권,39566620.171748996,0.21961408333085364,0.10006844035223418,28661084.94063927,41331148.10181818
3120104,0,정체상권,35525542.86492625,-0.18229185488899466,0.14335666685747867,34119183.17368421,35486686.36563877
3120105,4,성장상권,35446846.793505,0.5735215639560401,0.2210077130071554,18619698.654545456,43866713.05555555
3120106,4,성장상권,16947471.617567856,0.21063036270096996,0.13621554036568534,12801869.878787879,16925710.5
3120107,4,성장상권,30816265.37921539,0.15982956671129264,0.10690159790486112,24381610.954545453,31024260.051282052
3120108,0,정체상권,24267709.09521455,-0.22371639080319422,0.1373473819885324,21893838.2,22945704.862068966
3120109,0,정체상권,12914798.824321248,-0.06997451919205595,0.07974360637801542,13481582.862068966,12759669.629629629
3120110,4,성장상권,21631362.67585948,0.2948944126599176,0.1648848065740772,13445006.368421054,23871782.074074075
3120111,3,쇠퇴상권,10337865.065124448,0.04423576022917716,0.14630468295100893,9069406.047619049,9610312.578947369
3120112,4,성장상권,47389747.1528117,0.26065293980561643,0.10763535147093888,36861939.13043478,48132622.92
3120113,2,전통강호상권,21478607.386784982,-0.05424084632223657,0.13752134055068083,15023157.1875,16415125.891891891
3120114,2,전통강호상권,24803568.10864719,-0.14920466662132403,0.1098925812778603,22226491.513888888,20796427.743902437
3120116,1,기대상권,31048272.408234127,0.10868601655629485,0.11536186160432008,25563189.333333332,39928141.85714286
3120119,3,쇠퇴상권,8851310.150107732,-0.03875880432540133,0.0911955448275367,9616092.033057852,9196467.878378378
3120120,2,전통강호상권,62044572.307545565,-0.010679082047358185,0.14035809107354608,52104764.06896552,55311877.68
3120121,4,성장상권,21670200.155906722,0.1420199398062408,0.09491259936666815,18967310.35,25180411.96
3120122,2,전통강호상권,17344485.667948,-0.01862576385586798,0.1303366279612684,15953841.846153846,22816453.83870968
3120123,3,쇠퇴상권,25570411.180392526,-0.20068661354582343,0.26123491329787046,27403726.916666668,23678804.615384616
3120124,2,전통강호상권,18358551.486321196,-0.05213311619962437,0.14358704286704393,11935248.266666668,14235303.777777778
3120125,1,기대상권,17750426.57834348,0.30605495080710704,0.1430981855146763,12252619.05882353,22194686.39473684
3120127,2,전통강호상권,23927740.83462825,0.04861514453322914,0.11524888138395728,17579076.333333332,22530007.47826087
3120128,0,정체상권,29003368.513093166,-0.30671601259718434,0.17097526995315343,31429272.87804878,24390696.98275862
3120129,2,전통강호상권,39177086.6909889,-0.1575905974014909,0.11711569967883584,35722895.99137931,33801940.78518519
